10th	0.8371992707252502	10th

economic	0.4532973766326904	cultural

#	0.9336799383163452	norman

de	0.9990955591201782	de

roll	0.4744546711444855	cat

com	0.9443348050117492	by

val	0.9745591878890992	110

war	0.5415501594543457	affairs

brother	0.9393623471260072	brother

norman	0.3972862362861633	106

building	0.2881682515144348	building

broke	0.4567374587059021	carved

anglo	0.8769621849060059	anglo

king	0.7073974609375	hearted

they	0.7223678827285767	all

12th	0.8674024939537048	10th

cultural	0.30603891611099243	architectural

anglo	0.9967963099479676	anglo

sense	0.4987007975578308	arts

17th	0.4957283437252045	16th

art	0.22000710666179654	art

20th	0.6098051071166992	11th

of	0.2825780808925629	abbot

branch	0.8480526804924011	branch

method	0.2147459089756012	algorithm

number	0.6161872148513794	collection

consider	0.4191587567329407	consider

main	0.4847683608531952	central

an	0.936532974243164	an

the	0.3005755245685577	different

turing	0.4873176515102386	computing

.	0.9834731221199036	actions

states	0.23990318179130554	classes

amount	0.3308448791503906	amount

known	0.701799750328064	known

worst	0.5603428483009338	average

or	0.30167794227600103	algorithm

system	0.3869015276432037	algorithm

basis	0.6397150158882141	basis

another	0.523459792137146	an

system	0.5362103581428528	class

hard	0.9805195927619934	complete

and	0.4968587160110474	computer

complete	0.27010998129844666	complete

an	0.5189260244369507	an

simple	0.3107239603996277	computational

states	0.4695997536182404	classes

contained	0.2649182677268982	contained

short	0.7401572465896606	finite

first	0.21972796320915225	actual

called	0.9884487986564636	called

called	0.4925690293312073	abbreviated

9	0.2776187062263489	10

built	0.9782567024230956	built

montana	0.3116258680820465	arizona

angeles	0.9999232292175292	angeles

angeles	0.9999275207519532	angeles

angeles	0.9990895986557008	angeles

also	0.9571120142936708	also

tourist	0.2327398806810379	beaches

part	0.32177734375	boundary

ex	0.2558051347732544	pro

central	0.5119065046310425	central

including	0.3239777684211731	al

are	0.375861406326294	along

000	0.8240905404090881	000

able	0.4762809574604034	able

ranking	0.4914667904376984	01

area	0.9977322816848756	area

angeles	0.9999688863754272	angeles

california	0.30766844749450684	california

angeles	0.9998282194137572	angeles

angeles	0.999954104423523	angeles

diego	0.9137300252914428	bernardino

cruz	0.4954177737236023	ana

business	0.9748194813728333	business

busiest	0.8515440225601196	busiest

angeles	0.9999518394470216	angeles

angeles	0.9787428379058838	ang

very	0.4028564691543579	also

also	0.3170698583126068	also

battle	0.8768002986907959	battle

on	0.8612240552902222	bs

the	0.5077565312385559	additional

##a	0.4511505663394928	pay

british	0.4040546119213104	british

000	0.6582581996917725	000

air	0.9946757555007936	air

9	0.339284747838974	10

five	0.32198113203048706	five

##tv	0.2799840271472931	access

scale	0.9690580368041992	scale

launched	0.4446642100811005	branded

direct	0.5571594834327698	direct

diverse	0.5515536069869995	diversified

came	0.7005616426467896	arrived

party	0.7351498603820801	member

centre	0.7555942535400391	centre

west	0.8134078979492188	east

indigenous	0.92422354221344	aboriginal

000	0.3552999496459961	000

british	0.439043402671814	1855

arid	0.4140985012054443	deserts

also	0.7174608707427979	also

location	0.27658239006996155	base

